"Time stamp","System power generated | (kW)"
"1528",70193.7
"1529",65725.3
"1530",48529
"1531",-12.2538
"1532",-12.2538
"1533",-12.2538
"1534",-12.2538
"1535",-12.2538
"1536",-12.2538
"1537",-12.2538
"1538",-12.2538
"1539",-12.2538
"1540",-12.2538
"1541",-12.2538
"1542",-12.2538
"1543",-12.2538
"1544",36549.3
"1545",64844.1
"1546",73439.9
"1547",73072.7
"1548",70696.3
"1549",69345.9
"1550",70507.8
"1551",73370.6
"1552",73821.1
"1553",69912.2
"1554",49726.4
"1555",-12.2538
"1556",-12.2538
"1557",-12.2538
"1558",-12.2538
"1559",-12.2538
"1560",-12.2538
"1561",-12.2538
"1562",-12.2538
"1563",-12.2538
"1564",-12.2538
"1565",-12.2538
"1566",-12.2538
"1567",-12.2538
"1568",32678.9
"1569",62549.9
"1570",3165.71
"1571",9477.63
"1572",3210.22
