"Time stamp","Subarray 1 Cell temperature (steady state) | (C)"
"1673",44.5584
"1674",42.8095
"1675",44.5365
"1676",40.7875
"1677",33.8115
"1678",27.9
"1679",27.6
"1680",27.4
"1681",27.2
"1682",26.9
"1683",26.7
"1684",26.4
"1685",26.1
"1686",25.9
"1687",25.7
"1688",25.6
"1689",25.9
"1690",33.4724
"1691",41.009
"1692",44.8557
"1693",46.6022
"1694",47.4576
"1695",47.9416
"1696",47.6774
"1697",47.2711
"1698",46.4584
"1699",44.4665
"1700",40.6695
"1701",33.5649
"1702",27.4
"1703",27
"1704",26.8
"1705",26.5
"1706",26.3
"1707",26.1
"1708",25.9
"1709",25.7
"1710",25.6
"1711",25.4
"1712",25.3
"1713",25.5
"1714",34.3655
"1715",41.4429
"1716",43.601
"1717",42.3442
"1718",37.1645
"1719",37.5003
"1720",35.9878
"1721",38.6846
"1722",45.917
"1723",42.7878
"1724",40.4379
"1725",33.463
"1726",27.3
"1727",27.1
"1728",26.9
"1729",26.8
"1730",26.7
"1731",26.5
"1732",26.4
"1733",26.1
"1734",25.8
"1735",25.6
"1736",25.4
"1737",25.7
"1738",34.1239
"1739",43.4384
"1740",40.8722
"1741",43.8547
"1742",49.2878
"1743",49.0786
"1744",46.9994
"1745",46.8305
"1746",45.3038
"1747",44.3841
"1748",38.3828
"1749",31.506
"1750",27.2
"1751",26.9
"1752",26.5
"1753",26.2
"1754",25.9
"1755",25.6
"1756",25.6
"1757",25.5
"1758",25.4
"1759",25.3
"1760",25.2
"1761",25.5
"1762",33.0437
"1763",41.4202
"1764",42.9537
"1765",46.5969
"1766",46.1069
"1767",46.0923
"1768",47.4729
"1769",47.0644
"1770",46.0567
"1771",43.7879
"1772",39.623
"1773",32.2668
"1774",26.7
"1775",26.4
"1776",26.2
"1777",26
